homeid,provenance,provenancedetail,energytype,date,reading
155,826,all_web_end,gas,2018-05-28,22672
158,842,all_web_end,electricity,2018-05-30,64834
158,842,all_web_end,gas,2018-05-30,7179
162,874,all_inapp_meters_mid,electricity,2017-12-12,3958
162,874,all_inapp_meters_mid,gas,2017-12-12,665
163,876,all_inapp_meters_mid,electricity,2017-12-07,17021
163,876,all_inapp_meters_mid,gas,2017-12-07,5619
163,876,all_web_end,electricity,2018-05-31,18286
163,876,all_web_end,gas,2018-05-31,6428
164,849,all_web_end,electricity,2018-06-13,15962
164,849,all_web_end,gas,2018-06-13,3837
165,852,all_web_end,electricity,2018-05-23,2330
165,852,all_web_end,gas,2018-05-23,1170
167,619,all_web_end,electricity,2018-06-14,44090
167,619,all_web_end,gas,2018-06-14,11915
168,856,all_inapp_meters_mid,electricity,2017-12-14,22831
168,856,all_inapp_meters_mid,gas,2017-12-14,6151
168,856,all_web_end,electricity,2018-06-22,26193
168,856,all_web_end,gas,2018-06-22,6459
170,858,all_web_end,electricity,2018-06-01,240
170,858,all_web_end,gas,2018-06-01,1.268
175,879,all_inapp_meters_mid,electricity,2017-12-08,26692
175,879,all_inapp_meters_mid,gas,2017-12-08,183
175,879,all_web_end,electricity,2018-05-31,28818
175,879,all_web_end,gas,2018-05-31,675
178,893,all_inapp_meters_mid,electricity,2017-12-12,49339
178,893,all_inapp_meters_mid,gas,2017-12-12,4002
182,899,all_inapp_meters_mid,electricity,2017-12-08,55086
182,899,all_web_end,electricity,2018-05-23,58448
182,899,all_web_end,gas,2018-05-23,32126
185,907,all_web_end,electricity,2018-06-01,80696
